segment	best	score
"Note: 6A002.a.2.c.3. does not control compound semiconductor photocathodes designed to achieve a maximum ""radiant sensitivity"" of any of the following:"	"c. Other ""III/V compound"" semiconductor photocathodes having a maximum ""radiant sensitivity"" exceeding 10 mA/W;"	63
Article 26 Transfer of resources	Article 2 General requirements	65
Commission Implementing Decision (EU) 2021/858 of 27 May 2021 amending Implementing Decision (EU) 2017/253 as regards alerts triggered by serious cross-border threats to health and for the contact tracing of passengers identified through Passenger Locator Forms (OJ L 188, 28.5.2021, p. 106).	Commission Implementing Regulation (EU) 2021/772 of 10 May 2021 amending Implementing Regulation (EU) 2020/977 as regards the temporary measures in relation to controls on the production of organic products, in particular the period of application (OJ L 165, 11.5.2021, p. 28).	64
NCBs should therefore report that statistical information separately from and in addition to the statistical information reported on OFIs.	NCBs should therefore report that statistical information separately from the statistical information reported on OFIs to the ECB using the statistical information collected in accordance with Regulation (EU) No 1075/2013 (ECB/2013/40).	66
Council Decision (CFSP) 2021/698 of 30 April 2021 on the security of systems and services deployed, operated and used under the Union Space Programme which may affect the security of the Union, and repealing Decision 2014/496/CFSP (see page 178 of this Official Journal).	Council Decision 2014/496/CFSP of 22 July 2014 on aspects of the deployment, operation and use of the European Global Navigation Satellite System affecting the security of the European Union and repealing Joint Action 2004/552/CFSP (OJ L 219, 25.7.2014, p. 53).	60
River Brda from the link with the Bydgoski Channel in Bydgoszcz to the estuary of the river Wisła	River Bug from the estuary of the river Muchawiec to the estuary of the river Narwia	66
between FL and	between 9 and 12 months	65
Response time of less than 1 ms;	"A response ""time constant"" of less than 0,5 ns;"	70
Council Regulation (EU) 2019/1919 of 8 November 2019 on the allocation of the fishing opportunities under the Protocol setting out the fishing opportunities and financial contribution provided for in the Fisheries Partnership Agreement between the European Community and the Islamic Republic of Mauritania (OJ L 297 I, 18.11.2019, p. 5).	Council Regulation (EU) 2019/440 of 29 November 2018 on the allocation of fishing opportunities under the Sustainable Fisheries Partnership Agreement between the European Union and the Kingdom of Morocco and the Implementation Protocol thereto (OJ L 77, 20.3.2019, p. 1).	69
(Interreg VI-B) NEXT Mediterranean Sea Basin (NEXT MED)	(Interreg VI-A) NEXT Lithuania Belarus	62
Provisions applying to all payments	Conditions applying to securities	65
Based on that assessment, the Commission shall, where appropriate, submit a legislative proposal to amend the relevant provisions of this Directive.	Where necessary, the Commission may submit a legislative proposal to amend those indicators.	62
This mandatory one- or two-byte ASCII field shall indicate the manner by which the latent image information was obtained.	This mandatory ASCII field shall contain the date that the latent image contained in the record was captured.	65
In accordance with Article 13 (1) of Directive (EU) 2019/904, Member States should report to the Commission data and information electronically within 18 months of the end of the reporting year for which they were collected.	In accordance with Article 39 (4) of Directive (EU) 2017/2397, Member States where inland waterway navigation is not technically possible are not obliged to transpose that Directive.	63
Number of people that participated in the public consultation.	Number of months participated in an active employment measure.	65
This resulted in the adoption of the following harmonised standards and amendments: EN 50520: 2020 and EN 50520: 2020/A1: 2021; EN 60898-2: 2021; EN IEC 61010-2-051: 2021 and EN IEC 61010-2-051: 2021/A11: 2021; and EN IEC 61010-2-030: 2021 and EN IEC 61010-2-030: 2021/A11: 2021.	This resulted in the adoption of the following amending harmonised standards and a correction: EN 60598-2-13: 2006/A11: 2021; EN 61534-1: 2011/A11: 2021; EN 61534-1: 2011/A2: 2021; EN 61534-21: 2014/A11: 2021; EN 61534-21: 2014/A1: 2021; EN 61534-22: 2014/A11: 2021; EN 61534-22: 2014/A1: 2021; and EN 62135-1: 2015/AC: 2016.	68
The Commission also established the average dumping margin for the non-cooperating exporting producers.	The Commission established the figure on the basis of the information provided by the Union producers.	67
indicators 62 to 79 in Table 3 of Appendix 2 to Annex I to Regulation (EU) No 1072/2013 (ECB/2013/34); and	Derogations granted by NCBs pursuant to this paragraph shall be without prejudice to Article 4 of Regulation (EU) No 1072/2013 (ECB/2013/34). ’;	60
the entity has used derivatives, non-derivative financial instruments measured at fair value through profit or loss, or reinsurance contracts held to mitigate financial risk arising from the group of insurance contracts, as specified in paragraph B115, before the transition date.	an economic offset exists between the insurance contracts and the derivative, non-derivative financial instrument measured at fair value through profit or loss, or reinsurance contract held (ie the values of the insurance contracts and those risk mitigating items generally move in opposite directions because they respond in a similar way to the changes in the risk being mitigated).	64
SINGLE EVENT REPORTING OF DOCUMENT FRAUD	SINGLE EVENT REPORTING ON OTHER FORMS OF CROSS-BORDER CRIME	63
Moreover, fishing for shrimp is prohibited from 1 June to 31 December in the area bounded by the following coordinates:	Vessels may also fish this stock in division 3L in the box bounded by the following coordinates:	61
Description of basis for attributing revenues from external customers to individual countries	Description of the target customers and counterparties	60
Determination of the stability of analyte (s) in matrix	Verification of the durability of automatically locking retractors	63
An entity shall apply that amendment for annual reporting periods beginning on or after 1 January 2022.	It shall apply from 1 January 2022 to annual financial reports containing financial statements for financial years beginning on or after 1 January 2022.	62
the performance of the mutual assistance referred to in Article 79;	the geo-awareness service referred to in Article 9;	68
The customs authorities shall verify the proper use of an authorisation.	The customs authorities of the Member States shall monitor the use made of the authorisation referred to in paragraph 1.	60
2 Holder head	Cylinder heads;	64
Notifying a data subject of a breach of their personal data	Information to data subject on restrictions of their rights	61
a correction term for diffraction by the top of the obstacle	The correction for absorption on the inner side of the obstacle is given by:	63
They might cooperate with the Union to promote the Programme ’ s services and applications.	The evaluation shall cover all of the Programme ’ s components and actions.	60
Bank:	Rank	67
This Annex applies to the organic products listed in Appendices 14-A and 14-B which comply with the laws and regulations listed in Appendix 14-C or 14-D.	details of observed irregularities and infringements of the laws and regulations listed in Appendix 14-C or 14-D, as relevant.	60
Miscellaneous Identification Number (MN1)	vehicle identification number;	68
Imports should be declared by country of origin and exports by country of destination.	Imports (entries) by origin and exports (exits) by destination	65
The information shall be communicated to the Commission at the latest 2 months after the report referred to in Article 39, point (c), has been sent.	Member States shall communicate to the Commission the risk analysis as part of the control plan referred in Article 80 (1) of that Regulation.	62
In accordance, where available, with the standards of the WHO global Emergency Medical Team initiative.	The team should ensure self-sufficiency during the entire deployment time in accordance with the standards of the WHO global Emergency Medical Team initiative.	67
Member States shall ensure that the competent authorities of the home Member State, in the exercise of their functions and duties provided for in this Directive, ask the competent authorities of the host Member State for their assistance in carrying out an on-site inspection of a branch set up, or of a credit service provider appointed, in a host Member State.	Member States shall ensure that the competent authorities of the home Member State are empowered to supervise, investigate and impose administrative penalties and remedial measures on credit servicers in respect of the requirements of this Directive when performing their credit servicing activities in a host Member State.	63
‘ (4) (6) [II.2.3.1. They are subject to the requirements in Part II.2.4 and they originate from a (4) [country] (4) [territory] (4) [zone] (4) [compartment] with (5) code:_–__ which, at the date of issue of this certificate, is listed in a list of third countries and territories adopted by the Commission in accordance with Article 230 (1) of Regulation (EU) 2016/429 for the entry into the Union of (3) [aquatic animals] (3) [products of animal origin from aquatic animals other than live aquatic animals];] ’;	Code of the third country/territory/zone/compartment as it appears in a list of third countries and territories adopted by the Commission in accordance with Article 230 (1) of Regulation (EU) 2016/429 for the entry into the Union of certain species of aquatic animals.	64
in the Union; or	Offices in the Union	67
This appropriation is intended to cover expenditure on training for improving staff skills and the performance and efficiency of the institution, e.g. via language courses for the official working languages.	expenditure on training for improving staff skills and the performance and efficiency of the Office:	64
recording of the storage conditions;	meets one of the following conditions:	65
Therefore, point M.A.502 (c) of Annex I (Part-M) to Regulation (EU) No 1321/2014 should be corrected.	The table in Part 1 of Annex XII to Implementing Regulation (EU) 2021/404 should therefore be corrected accordingly.	62
outsourcing arrangements of critical or important functions as referred to in Article 30 (1) of Commission Delegated Regulation (EU) 2017/565.	For the purpose of this Decision, the definitions laid down in Article 2 of Commission Delegated Regulation (EU) 2020/692 apply.	64
NCBs may grant derogations relating to the following indicators:	To that end, data will be collected in relation to the following set of key indicators:	64
A Party may comment on the other Party's request within 15 days of the delivery of the request.	The other Party shall have an opportunity to provide comments in writing on the Party's responses within five days after the delivery of such copy.	61
This appropriation is intended to cover the cost of removal and handling work carried out by removal firms or by temporary handling staff supplied by outside agencies.	Part of this appropriation is intended to cover the cost of any updates of temporary allowances during the financial year.	62
Former head of Evin Prison (2012-2015).	Former Head of Tehran Disaster Mitigation Organisation (2010-2013).	62
to end of February	1 January to 28 February	62
None of the known importers that were contacted came forward and replied to the sampling form.	None of the unrelated importers or users came forward or replied to the questionnaire in the present review.	63
Certain aquaculture establishments that are closed facilities or which do not discharge effluent directly into natural waters, present a low risk of contaminating open waters.	aquaculture establishments that are closed facilities or which do not discharge effluent directly into natural waters, and do not move aquaculture animals to other aquaculture establishments or release them into the wild, and are one of the following types of aquaculture establishments:	65
Fish meal	Fish boxes	63
The request for review was based on the grounds that the expiry of the measures would likely result in a continuation or recurrence of dumping and injury to the Union industry.	The Commission sought and verified all the information deemed necessary for the determination of likelihood of continuation or recurrence of dumping and injury and of the Union interest.	62
The amount of anti-dumping duties to be retroactively collected shall be that resulting from applying the anti- dumping duty of 35,6% applicable to ‘ all other companies ’.	Imports not accompanied by that invoice should be subject to the anti-dumping duty applicable to ‘ all other companies ’.	66
documented policies and procedures to describe its organisation, the means and methods for establishing compliance with Regulation (EU) 2018/1139 and its delegated and implementing acts.	The organisation shall appoint an accountable manager that has corporate authority to ensure that all maintenance activities of the organisation can be financed and carried out in accordance with Regulation (EU) 2018/1139 and its delegated and implementing acts.	62
Under this procedure, the Secretary of State must consult the Information Commissioner when proposing to adopt UK adequacy regulations.	Under this procedure, the management of the insolvent company is transferred to an Extraordinary Commissioner who is appointed by the responsible Ministry.	60
‘ Sensor window materials ’, as follows:	Fluids and lubricating materials, as follows:	66
The notice must include the same information as the notification to the Information Commissioner described in recital 53.	The penalty notice requires the person to pay to the Information Commissioner an amount specified in the notice.	62
Tonnes of products as oil equivalents	Total cash equivalents	61
In order for actions to be eligible for funding under the Instrument, those actions must comply with the following requirements:	In order to attain the objectives of the Instrument, thematic programmes shall cover the following areas of intervention:	63
the following first two words of the paragraph under the headings ‘ Sound propagation geometry ’ are replaced by the following:	in the paragraph under the heading ‘ Pure Diffraction ’, the second sub-paragraph is replaced by the following:	66
Immovable Property Acquisition (Aliens) Law (Chapter 109), as amended.	Pharmacy and Poisons Law (Chapter 254) as amended.	62
Those provisions are identical to the respective provisions of Regulation (EU) 2016/679.	the specific ground relied on for the processing pursuant to Regulation (EU) 2016/679;	66
Description of reason why using different reporting date or period for joint venture	Description of reasons why separate financial statements are prepared if not required by law	61
The EGF shall not be mobilised where public-sector employees are dismissed as a result of budgetary cuts by a Member State.	The EGF should also be able to support self-employed persons whose activity has ceased as a result of budgetary cuts.	62
Identification of the received signals or the type of transmitter;	a justification for the omission of any type of study and trial;	60
Area 5: Hygiene and quality of fishery products	sale and marketing of fishery products;	67
Maintaining material value for metal residues	Packaging materials and containers for retail sale	61
all other search fields referred to in paragraph 1 shall be searched in inexact mode.	Tachographs as referred to in paragraph 2 shall be installed in vehicles:	68
The requested authority shall inform the applicant authority with due diligence of any action it has taken on the request for recovery.	The requested party shall inform the applicant party of the grounds for refusing a request for assistance.	66
In Annex III to Decision 2012/285/CFSP, the entries concerning the persons listed below are deleted:	In Annex III of Decision 2009/908/EU, the text ‘ Working Party on Legal Data Processing ’ is deleted.	63
Trade Repository	Third position	67
Subsequently, in the Second Note, the Commission updated the list of factors of production based on the comments of the parties and information submitted by the sampled exporting producers in the questionnaire reply.	Subsequently, in the Second Note, the Commission updated information for a number of FOPs based on the comments received from the interested parties.	64
hyperlink to the accreditation certificate.	Transmission of the pre-division certificate	67
Intra-group export of software and technology	the description of the software and technology;	70
The VAT regime is different than for the import duty.	The sample is representative of the Union industry.	60
Specific provisions for the Neighbourhood area	Specific provisions for the financial cooperation	69
the following entries in section ‘ A. List of persons and entities referred to in Article 2 ’, are replaced by the following:	The Annex to Decision 2011/235/CFSP (‘ List of persons and entities referred to in Articles 1 and 2 ’) is amended as follows:	68
The Commission may adopt, by means of implementing acts, the multiannual plan and the key performance indicators.	The Commission shall adopt implementing acts on the content of the performance framework.	68
Types of intervention shall be based on a nomenclature set out in Annex I. For programmes supported by the EMFAF, the AMIF, the ISF and the BMVI, types of intervention shall be based on a nomenclature set out in the Fund-specific Regulations.	By way of derogation from paragraph 2, specific rules on pre-financing for programmes supported by the AMIF, the ISF and the BMVI shall be set out in the Fund-specific Regulations.	65
Pilot project — Revitalisation of cross-border night trains	the provision of cross-border common information services.	60
The Commission received comments from the CCCME, EFDA and one exporting producer Celo Suzhou Precision Fasteners Ltd (‘ Celo Suzhou ’).	The Commission received comments from the complainant and the exporting producers Ketong and Shenghua.	68
Legal and Executive Affairs	Legal and regulatory framework	60
Appropriations under this article are intended to cover payments in respect of commitments remaining to be settled from previous years, and they include the pre-financing for programmes relating to the period 2014-2020, taking into account the guidance provided by the European Council.	Appropriations under this article are intended to cover payments in respect of commitments remaining to be settled from previous years.	64
SAN MARINO	SINT MAARTEN	64
Costs include database management software and tools, and outside services,	platform: costs associated with distributed databases and middleware systems, this includes database management software and tools, and outside services,	65
Expenditure for restocking with livestock shall not exceed 20% of the total expenditure under operational programmes.	The contribution from the Union budget shall not exceed 75% of the total eligible expenditure for a project.	61
Council Directive 89/391/EEC of 12 June 1989 on the introduction of measures to encourage improvements in the safety and health of workers at work (OJ L 183, 29.6.1989, p. 1).	Council Directive 90/385/EEC of 20 June 1990 on the approximation of the laws of the Member States relating to active implantable medical devices (OJ L 189, 20.7.1990, p. 17).	65
By Commission Implementing Regulation (EU) 2019/159, the Commission imposed a safeguard measure with respect to certain steel products for a period of three years.	Commission Implementing Regulation (EU) 2019/159 of 31 January 2019 imposing definitive safeguard measures against imports of certain steel products (OJ L 31, 1.2.2019, p. 27).	67
Finally, Article 1 of Law No 163 of 1 October 2010 converting Decree-Law No 125 of 5 August 2010 (‘ the 2010 Law ’) laid down the further prolongation of the initial Conventions (including the one applicable to Toremar) from 1 October 2010 until the completion of the privatisation processes of Tirrenia and Siremar, which took place on 19 July 2012 and 31 July 2012 respectively.	Decree Law 125/2010, converted into the 2010 Law, provided for a further prolongation of the initial Conventions from 1 October 2010 until the end of the privatisation processes of Tirrenia and Siremar.	62
"""Infant carrier"" means an Integral Enhanced Child Restraint System intended to accommodate the child in a rearward-facing semi-recumbent position."	"""Chair"" means a structure which is a constituent part of the Enhanced Child Restraint System and is intended to accommodate a child in a seated position."	68
In case a requested Member State indicates in the first level answer that a given person is disqualified or is recorded in any of its registers that contain information relevant for disqualification of directors, the requesting Member States may request further information from the requested Member State concerning the person identified in the first level query.	In case the answer is that the person is disqualified or is recorded in any of the registers that contain information relevant for disqualification of directors, the requested Member State may indicate in its answer, which specific data provided by the requesting Member State matches the data available in the requested Member State and which specific data included in the query cannot be confirmed by the requested Member State as it is not recorded in its registers.	64
Any future liability would emanate from the findings of the anti-dumping investigation.	Findings of the anti-dumping investigation	64
Greece, Cyprus	Greece	60
Other material non-cash items	Other minor items.	68
The amount of expense relating to distribution costs and administrative expenses.	The amount of expenses relating to reinsurance contracts held.	69
The Commission shall adopt the work programmes by means of implementing acts.	The Commission shall publish the work programmes of the thematic facility referred to in Article 11.	66
During the RIP, the volume of imports increased considerably by 18%, compared to the beginning of the period considered.	This drop could be recovered during the RIP with an increase of 11% compared to the beginning of the period considered.	69
Information on how the fair value of share options granted was measured.	Information on the calibration of the transition matrix;	61
Delegated Regulation (EU) 2020/692 lays down requirements in relation to the inspection of terrestrial animals prior to their dispatch to the Union, which in the case of poultry cover also their flock of origin.	Article 101 of Delegated Regulation (EU) 2020/688 lays down requirements for movements of wild terrestrial animals from their habitat to a habitat or an establishment in another Member State.	62
Additional description of sampling frames	Additional declaration type	65
Consequently, the Commission rejected the claims of Chengxi Shipyard and Suzhou Titan described in recital (262).	Consequently, the Commission rejected the claim that the alloys in question could not be sourced from the Union market any longer.	63
It is therefore appropriate to grant the requested exemption by including the applications covered by it in Annex IV to Directive 2011/65/EU.	It is therefore appropriate to amend the relevant Sections and Appendices to Annex III to Delegated Regulation (EU) 2019/934.	61
Submissions on the application of Article 2 (6a) of the basic Regulation were received from the exporting producer Anhui Jinhe.	The application of the provisions of Article 28 (1) of the basic Regulation in relation to export credit insurance	66
That information shall be provided on the packaging for each unit or, where appropriate, on the sales packaging.	This information shall be clearly visible at the point of sale without removing the packaging;	63
are cleaned and disinfected in accordance with Article 24 (2) of Delegated Regulation (EU) 2020/687 under the control or supervision of the competent authority of the Member State concerned.	This shall be done in accordance with the timelines in Article 81 (2) of Regulation (EU) 2019/6, notifying the competent authority or the Agency, as applicable.	62
Ltd. (‘ Recheer ’), Singapore (jointly referred to as ‘ the IRNC Group ’)	hereinafter jointly referred to as the “ Parties ”,	61
In this case, as stated in recital 325 of the provisional Regulation, the restructuring costs were not exceptional and thus should be taken into consideration.	It is recalled that as stated in recital (247) of the provisional Regulation, the US companies are export-oriented with increasing capacities.	64
Other folates and related substances: ≤ 2,5%	Other trade-related issues	60
TRADE	TRIADIMENOL	62
The Commission shall adopt the final list of selected cross-border projects in the field of renewable energy by delegated act on the basis of a draft list referred to in point (f) and taking into account point (i).	The Commission shall regularly assess the uptake of funds for cross-border projects in the field of renewable energy against the reference amount set out in Article 4 (2), point (b), of this Regulation.	62
DECLARES:	BELARUS	62
Effect on trade	Effect on competition and trade	65
ensure the widespread implementation of EIT-labelled degrees and diplomas by KICs, strengthen their promotion outside the EIT Community and extend them to lifelong learning programmes;	In addition, the EIT should strengthen the promotion of the EIT-labelled degrees and diplomas in order to increase their recognition outside the EIT Community and extend their use to lifelong learning programmes, vocational training, skilling, re-skilling and up-skilling programmes.	63
Rechts auf Im Brock; in östlicher Richtung folgen bis zu einem Wassergraben.	Links auf Sunderkämpe; in südlicher Richtung folgen bis zur Kreisgrenze GT/WAF.	67
Electro magnetic separation plant;	Electro-magnetic compatibility	69
Having regard to the request made by the Netherlands on 6 January 2021,	Having regard to the proposal from the German Government,	61
Acoustic beacons, as follows:	Equipment, as follows:	67
Cash flows used in exploration and development activities	Net cash flows from (used in) investing activities	64
the functioning of the coordinating body and the submission of information to the Commission in accordance with Article 10.	When approving the national work plans, the Commission shall take into account the evaluation conducted by STECF in accordance with Article 10.	62
On 14 September 2018, the Agency ’ s Committee for Risk Assessment (‘ RAC ’) adopted its opinion concluding that, subject to modification of the scope and conditions proposed in the Annex XV dossier, a restriction on manufacture, use and placing on the market of C9-C14 PFCAs, their salts and related substances, is the most appropriate Union-wide measure to address the identified risks in terms of effectiveness in reducing those risks.	On 20 September 2019, the Agency ’ s Committee for Risk Assessment (‘ RAC ’) adopted its opinion concluding that the proposed restriction, as modified by RAC, is the most appropriate Union-wide measure to address the identified risks arising from exposure to N, N – dimethylformamide in terms of its effectiveness in reducing the risk, its practicality and monitorability.	67
ORIGIN PROCEDURES	PROCEDURE	69
investment needs and opportunities;	Adjustment of fishing opportunities	66
The following assets shall be excluded from the numerator of the GAR:	The following products shall be excluded from the product described in Article 1 (1):	69
The Commission concluded that such volume of imports is sufficiently representative to examine whether dumping continued during the review investigation period.	The Commission concluded in recital (315) that the Union industry suffered material injury during the review investigation period.	66
Consignments of products of animal origin, composite products, sprouts intended for human consumption and seeds intended for the production of sprouts for human consumption accompanied by the appropriate certificate issued in accordance with the models laid down in Regulation (EU) No 28/2012 and Implementing Regulation (EU) 2019/628 shall be accepted for entry into the Union until 15 March 2022 provided that the certificate was signed by the person authorised to sign the certificate in accordance with that Regulation and Implementing Regulation before 15 January 2022. ’	Consignments of aquatic animals and products of animal origin from aquatic animals accompanied by the appropriate animal health certificate issued in accordance with the model laid down in Regulation (EC) No 1251/2008 shall be accepted for entry into the Union until 15 March 2022 provided that the animal health certificate was signed by an official inspector before 15 January 2022. ’	68
Specific legal basis	Specifications	65
Total hours worked per year (optional)	Usual hours worked per week	65
Other international markets: Verification of the legality of exported products will apply as stipulated in this Agreement, regardless of the country of destination of the export, and their legality will be demonstrated by means of an H-Legal licence.	Domestic market: Verification of the legality of products placed on the domestic market will apply as stipulated in this Agreement, and the legality of the operators that own these products will be demonstrated by means of legal compliance certificates.	70
Description of reasons for change in valuation technique used to measure fair value less costs of disposal	Discount rate used in previous measurement of fair value less costs of disposal	66
The code of the creditor, holder or guarantee provider.	They could not, therefore, be considered as unrelated importers.	61
Agreement in the form of an Exchange of Letters between the European Community and Australia pursuant to Article XXIV: 6 and Article XXVIII of the General Agreement on Tariffs and Trade (GATT) 1994 relating to the modification of concessions in the schedules of the Czech Republic, the Republic of Estonia, the Republic of Cyprus, the Republic of Latvia, the Republic of Lithuania, the Republic of Hungary, the Republic of Malta, the Republic of Poland, the Republic of Slovenia and the Slovak Republic in the course of their accession to the European Union, concluded by Council Decision 2006/106/EC.	Agreement in the form of an Exchange of Letters between the European Union and the Republic of Indonesia pursuant to Article XXVIII of the General Agreement on Tariffs and Trade (GATT) 1994 relating to the modification of concessions on all the tariff-rate quotas included in the EU Schedule CLXXV as a consequence of the United Kingdom ’ s withdrawal from the European Union, concluded by Council Decision (EU) 2021/1197.	66
Find the average for each section as follows:	Calculate the crush strength of each section as follows:	67
The following persons are hereby appointed to the General Court as Judges for the period from the date of entry into force of this Decision until 31 August 2022:	The following are hereby appointed Advocates-General of the Court of Justice for the period from 7 October 2021 to 6 October 2027:	65
Conflict of interest	Costs of interveners	70
Special condition: up to 5% of this quota fished in United Kingdom and Union waters of 2a or 4a before 30 June may be accounted for as fished under the quota concerning the zone of United Kingdom and Union waters of 4b, 4c and 7d (JAX/* 2A4AC).	Special condition: of which up to 5% may be fished in United Kingdom and Union waters of 4, the part of 3a not covered by the Skagerrak and Kattegat, and United Kingdom waters of 2a (COD/* 2A3X4).	65
The Governing Board may invite a Member of the EIC Board or other stakeholders to attend their meetings as observers.	The Governing Board may invite a representative from the Strategic Advisory Group to attend its meetings.	65
Application of the Code of Conduct	Real Estate (Article 14 (6) of the Code of Conduct)	64
"Design ""technology"" for the determination of hardening criteria of 7E102.a. and 7E102.b."	"Design ""technology"" for the configuration of hardened electrical circuits and subsystems;"	66
increase the competitiveness and the economic potential of the cultural and creative sectors, in particular the audiovisual sector.	The Creative Europe programme aims to safeguard, develop and promote European cultural and linguistic diversity and heritage, and to increase the competitiveness and the economic potential of the cultural and creative sectors, in particular the audiovisual sector.	66
[Refer: Non-current assets or disposal groups classified as held for distribution to owners; Non-current assets or disposal groups classified as held for sale]	[Refer: Non-current assets held for sale [member]; Liabilities included in disposal groups classified as held for sale; Disposal groups classified as held for sale [member]]	70
Employment and productivity decreased by 7% and 13% respectively.	Employment and productivity developed over the period considered as follows:	60
Increase (decrease) due to voluntary changes in accounting policy [member]	Description of nature of voluntary change in accounting policy	69
The exploitation of Galileo and EGNOS shall cover the following eligible actions:	The publication of export licensing procedures shall include the following information:	62
for Section A, Subparts B, D, E, J, K, M, O and Q, the Agency;	for Section A, Subparts F and G:	62
For the purposes of this Regulation, “ Union amendment ” means an amendment to a product specification that:	“ Standard amendment ” means any amendment to a product specification that is not a Union amendment.	64
Formic acid ≤ 75%	Citric acid ≥ 99,5%	67
Commission Directive 91/412/EEC, or	Commission Decision 2005/290/EC	64
In particular, the Information Commissioner oversees the processing of personal data when it falls under the scope of Part 3 of the DPA 2018.	The general functions of the Information Commissioner in relation to the processing of personal data falling under the scope of Part 3 of the DPA 2018, are laid down in Schedule 13 to the DPA 2018.	69
Support the approval of the Explanatory Notes on the draft Decision on the monitoring and assessment of legal instruments.	Support the approval of the Explanatory Notes on the draft Regulation.	69
Decree Law 125/2010, converted into the 2010 Law, provided for a further prolongation of the initial Conventions from 1 October 2010 until the end of the privatisation processes of Tirrenia and Siremar.	The initial Conventions are prolonged as from 1 October 2010 until the end of the privatisation processes of Tirrenia and Siremar (see also recital (31));	66
Processing of timber products is entered in the record of production volumes.	The owner of the primary forest product company, via monthly production reports based on the record of production volumes.	63
Number of participants with one of the following outcomes following a training course:	Number of participants who consider the training useful for their work	63
Moreover, the Commission found that the publicly available financial information of the SWT producer in Malaysia was significantly outdated.	However, the Commission has not found any producer of OFC in these countries with readily available financial information and therefore it did not assess these countries further.	60
The area of sea enclosed by:	The heading of point 1 is replaced by:	61
Acknowledgement of receipt and registration	Knowledge exchange and information	62
Applicable when the meat has been obtained from a country mentioned in Annex IX, Chapter F, point 2, to Regulation (EC) No 999/2001. ’;	the gelatine does not contain and is not derived from specified risk material as defined in Annex V, point 1, to Regulation (EC) No 999/2001;	62
As such, any revenue from fines entered in Article 4 2 3 of the statement of revenue may give rise to the provision of appropriations.	Any revenue entered in Article 5 5 1 of the statement of revenue may give rise to the provision of additional appropriations in accordance with Article 21 (3), point (a), of the Financial Regulation.	67
Unit cost 1 may be adjusted by replacing the initial minimum wage and/or the statutory bonus and/or weekly allowances and/or social security contributions in the calculation method that consists of the lowest weekly rate of national minimum wage for a particular year, the statutory bonus, weekly allowances and social security contributions, and dividing this result by 2.	The rate for unit cost 18 may be adjusted by replacing the salaries for participants, including social security and health contributions in the calculation method that consists of the cost for provision of training plus salaries for participants, including social security and health contributions, plus indirect costs.	63
